container_id,container_size,container_pulling_delay
0,940,470.0
1,753,376.5
2,311,155.5
3,298,149.0
4,894,447.0
5,952,476.0
6,461,230.5
7,416,208.0
8,716,358.0
9,656,328.0
10,304,152.0
11,615,307.5
12,958,479.0
13,432,216.0
14,857,428.5
15,318,159.0
16,728,364.0
17,690,345.0
18,778,389.0
19,781,390.5
20,385,192.5
21,750,375.0
22,736,368.0
23,826,413.0
24,831,415.5
25,893,446.5
26,634,317.0
27,230,115.0
28,774,387.0
29,747,373.5
30,659,329.5
31,911,455.5
32,944,472.0
33,501,250.5
34,959,479.5
35,816,408.0
36,372,186.0
37,488,244.0
38,990,495.0
39,372,186.0
40,289,144.5
41,638,319.0
42,438,219.0
43,234,117.0
44,256,128.0
45,888,444.0
46,820,410.0
47,898,449.0
48,304,152.0
49,783,391.5
50,953,476.5
51,282,141.0
52,617,308.5
53,380,190.0
54,422,211.0
55,374,187.0
56,545,272.5
57,712,356.0
58,559,279.5
59,811,405.5
60,327,163.5
61,368,184.0
62,549,274.5
63,778,389.0
64,996,498.0
65,545,272.5
66,811,405.5
67,833,416.5
68,266,133.0
69,457,228.5
70,794,397.0
71,818,409.0
72,494,247.0
73,483,241.5
74,860,430.0
75,902,451.0
76,863,431.5
77,964,482.0
78,488,244.0
79,920,460.0
80,451,225.5
81,268,134.0
82,584,292.0
83,624,312.0
84,898,449.0
85,674,337.0
86,675,337.5
87,771,385.5
88,866,433.0
89,565,282.5
90,523,261.5
91,399,199.5
92,775,387.5
93,883,441.5
94,414,207.0
95,612,306.0
96,229,114.5
97,730,365.0
98,324,162.0
99,487,243.5
100,654,327.0
101,279,139.5
102,319,159.5
103,647,323.5
104,448,224.0
105,950,475.0
106,825,412.5
107,678,339.0
108,502,251.0
109,763,381.5
110,231,115.5
111,594,297.0
112,209,104.5
113,961,480.5
114,757,378.5
115,709,354.5
116,501,250.5
117,847,423.5
118,763,381.5
119,214,107.0
