container_id,container_size,container_pulling_delay
0,731,365.5
1,822,411.0
2,989,494.5
3,712,356.0
4,520,260.0
5,449,224.5
6,404,202.0
7,891,445.5
8,550,275.0
9,817,408.5
10,852,426.0
11,906,453.0
12,509,254.5
13,917,458.5
14,785,392.5
15,853,426.5
16,348,174.0
17,427,213.5
18,766,383.0
19,779,389.5
20,880,440.0
21,940,470.0
22,295,147.5
23,855,427.5
24,911,455.5
25,785,392.5
26,396,198.0
27,308,154.0
28,512,256.0
29,340,170.0
30,359,179.5
31,699,349.5
32,811,405.5
33,781,390.5
34,221,110.5
35,956,478.0
36,866,433.0
37,766,383.0
38,967,483.5
39,315,157.5
40,608,304.0
41,550,275.0
42,376,188.0
43,566,283.0
44,745,372.5
45,931,465.5
46,954,477.0
47,201,100.5
48,701,350.5
49,290,145.0
50,346,173.0
51,518,259.0
52,662,331.0
53,281,140.5
54,642,321.0
55,934,467.0
56,815,407.5
57,947,473.5
58,754,377.0
59,946,473.0
60,273,136.5
61,251,125.5
62,781,390.5
63,599,299.5
64,780,390.0
65,524,262.0
66,422,211.0
67,650,325.0
68,504,252.0
69,615,307.5
70,402,201.0
71,286,143.0
72,368,184.0
73,718,359.0
74,509,254.5
75,270,135.0
76,842,421.0
77,757,378.5
78,637,318.5
79,476,238.0
