container_id,container_size,container_pulling_delay
0,457,228.5
1,355,177.5
2,670,335.0
3,396,198.0
4,728,364.0
5,567,283.5
6,630,315.0
7,471,235.5
8,424,212.0
9,871,435.5
10,665,332.5
11,804,402.0
12,378,189.0
13,492,246.0
14,772,386.0
15,591,295.5
16,650,325.0
17,632,316.0
18,650,325.0
19,741,370.5
20,249,124.5
21,646,323.0
22,897,448.5
23,697,348.5
24,446,223.0
25,304,152.0
26,822,411.0
27,728,364.0
28,529,264.5
29,983,491.5
30,775,387.5
31,968,484.0
32,473,236.5
33,246,123.0
34,278,139.0
35,676,338.0
36,551,275.5
37,320,160.0
38,242,121.0
39,625,312.5
40,864,432.0
41,394,197.0
42,517,258.5
43,789,394.5
44,249,124.5
45,320,160.0
46,822,411.0
47,435,217.5
48,760,380.0
49,993,496.5
50,864,432.0
51,850,425.0
52,424,212.0
53,349,174.5
54,809,404.5
55,368,184.0
56,507,253.5
57,885,442.5
58,750,375.0
59,447,223.5
60,260,130.0
61,273,136.5
62,911,455.5
63,606,303.0
64,899,449.5
65,533,266.5
66,244,122.0
67,573,286.5
68,794,397.0
69,207,103.5
70,971,485.5
71,469,234.5
72,717,358.5
73,691,345.5
74,451,225.5
75,995,497.5
76,676,338.0
77,209,104.5
78,367,183.5
79,581,290.5
