container_id,container_size,container_pulling_delay
0,291,145.5
1,996,498.0
2,872,436.0
3,373,186.5
4,774,387.0
5,992,496.0
6,456,228.0
7,908,454.0
8,672,336.0
9,497,248.5
10,483,241.5
11,534,267.0
12,907,453.5
13,671,335.5
14,229,114.5
15,490,245.0
16,948,474.0
17,392,196.0
18,665,332.5
19,478,239.0
20,425,212.5
21,541,270.5
22,645,322.5
23,943,471.5
24,224,112.0
25,965,482.5
26,697,348.5
27,376,188.0
28,420,210.0
29,242,121.0
30,609,304.5
31,397,198.5
32,780,390.0
33,526,263.0
34,969,484.5
35,790,395.0
36,215,107.5
37,567,283.5
38,322,161.0
39,972,486.0
