container_id,container_size,container_pulling_delay
1,434,0.434
2,1978,1.978
3,1315,1.315
4,1054,1.054
5,1086,1.086
6,1159,1.159
7,1669,1.669
8,1731,1.731
9,380,0.38
10,1817,1.817
11,188,0.188
12,473,0.473
13,112,0.112
14,1387,1.387
15,1130,1.13
16,1139,1.139
17,1306,1.306
18,563,0.563
19,1552,1.552
20,556,0.556
21,285,0.285
22,1176,1.176
23,952,0.952
24,1880,1.88
25,1076,1.076
26,1258,1.258
27,165,0.165
28,1796,1.796
29,1119,1.119
30,1448,1.448
31,891,0.891
32,328,0.328
33,438,0.438
34,105,0.105
35,1866,1.866
36,1153,1.153
37,1681,1.681
38,112,0.112
39,1960,1.96
40,1672,1.672
41,135,0.135
42,794,0.794
43,1601,1.601
44,207,0.207
45,1818,1.818
46,756,0.756
47,1058,1.058
48,1882,1.882
49,1543,1.543
50,1664,1.664
51,1229,1.229
52,104,0.104
53,696,0.696
54,1096,1.096
55,283,0.283
56,1399,1.399
57,1916,1.916
58,1366,1.366
59,1690,1.69
60,82,0.082
61,1290,1.29
62,1443,1.443
63,1596,1.596
64,1216,1.216
65,1764,1.764
66,253,0.253
67,71,0.071
68,1656,1.656
69,973,0.973
70,1895,1.895
71,1028,1.028
72,635,0.635
73,501,0.501
74,845,0.845
75,1464,1.464
76,1585,1.585
77,704,0.704
78,583,0.583
79,548,0.548
80,1566,1.566
81,912,0.912
82,1045,1.045
83,1087,1.087
84,346,0.346
85,1693,1.693
86,578,0.578
87,340,0.34
88,735,0.735
89,939,0.939
90,79,0.079
91,1689,1.689
92,769,0.769
93,1530,1.53
94,1857,1.857
95,541,0.541
96,1108,1.108
97,1333,1.333
98,342,0.342
99,1073,1.073
100,516,0.516
