iter	RMSE
0	0.6023080954
1	0.5572446962
2	0.5180153303
3	0.4834305626
4	0.4503736649
5	0.4221092821
6	0.3972630676
7	0.3754638714
8	0.3566140879
9	0.3382982928
10	0.3235176305
11	0.3097462748
12	0.2978008534
13	0.2876637336
14	0.2789008237
15	0.2713725497
16	0.2647022321
17	0.2589697677
18	0.2537207425
19	0.2493679975
20	0.2455797777
21	0.2400828668
22	0.2374858269
23	0.2344277987
24	0.2314916189
25	0.2288498907
26	0.2268290682
27	0.2248178947
28	0.222356547
29	0.2206124318
30	0.2182140977
31	0.2167312686
32	0.2153876844
33	0.2129408559
34	0.211610703
35	0.2102756223
36	0.2094269567
37	0.2074294718
38	0.2065557559
39	0.204812536
40	0.2038807964
41	0.2029444263
42	0.2014117258
43	0.2010076418
44	0.2001674091
45	0.1996393051
46	0.198706844
47	0.1978626082
48	0.1971906524
49	0.1965043264
50	0.1956419203
51	0.1950354504
52	0.1942607773
53	0.1935098478
54	0.1928849075
55	0.1922990446
56	0.192115591
57	0.1918790957
58	0.1914858541
59	0.1912336373
60	0.1907821853
61	0.1902374703
62	0.1898773284
63	0.1889728287
64	0.1885969526
65	0.1883327759
66	0.1879929866
67	0.1878094533
68	0.1867426097
69	0.1861596936
70	0.1858079858
71	0.1854503294
72	0.1846109751
73	0.1837967405
74	0.1836488693
75	0.1833283535
76	0.1825364687
77	0.1817773543
78	0.1815206111
79	0.1814215313
80	0.1810537079
81	0.1806995452
82	0.1804319154
83	0.1801818568
84	0.1799769361
85	0.1797187477
86	0.1795277877
87	0.1792646853
88	0.1788723936
89	0.1785711053
90	0.1779434699
91	0.1777208116
92	0.1774282356
93	0.177222513
94	0.1769589069
95	0.1767261339
96	0.1764520853
97	0.1762502218
98	0.1760047268
99	0.1754467999
