iter	Passed	Remaining
0	159	15791
1	162	7981
2	166	5367
3	169	4066
4	172	3281
5	175	2757
6	179	2380
7	182	2096
8	185	1877
9	188	1695
10	191	1550
11	194	1425
12	197	1321
13	200	1232
14	203	1153
15	206	1084
16	209	1023
17	212	967
18	215	917
19	218	873
20	221	832
21	224	794
22	227	760
23	230	728
24	233	701
25	237	676
26	240	650
27	243	626
28	246	603
29	249	582
30	252	561
31	255	542
32	258	523
33	260	506
34	264	490
35	267	474
36	269	459
37	272	445
38	275	431
39	278	417
40	281	404
41	284	392
42	287	380
43	290	369
44	292	357
45	296	347
46	299	337
47	301	327
48	304	317
49	307	307
50	310	298
51	313	289
52	316	280
53	319	271
54	322	263
55	325	255
56	328	247
57	331	240
58	334	232
59	337	225
60	340	217
61	344	211
62	347	203
63	350	196
64	353	190
65	355	183
66	359	177
67	362	170
68	365	164
69	369	158
70	372	152
71	377	146
72	380	140
73	383	134
74	386	128
75	390	123
76	394	117
77	397	112
78	400	106
79	404	101
80	409	96
81	413	90
82	417	85
83	421	80
84	425	75
85	429	69
86	432	64
87	435	59
88	441	54
89	444	49
90	447	44
91	451	39
92	456	34
93	459	29
94	463	24
95	466	19
96	470	14
97	472	9
98	475	4
99	478	0
