container_id,container_size,container_pulling_delay
0,591,295.5
1,915,457.5
2,261,130.5
3,468,234.0
4,622,311.0
5,641,320.5
6,735,367.5
7,364,182.0
8,447,223.5
9,262,131.0
10,245,122.5
11,314,157.0
12,423,211.5
13,542,271.0
14,228,114.0
15,353,176.5
16,544,272.0
17,927,463.5
18,510,255.0
19,330,165.0
20,455,227.5
21,384,192.0
22,565,282.5
23,453,226.5
24,539,269.5
25,388,194.0
26,958,479.0
27,360,180.0
28,762,381.0
29,284,142.0
30,306,153.0
31,930,465.0
32,910,455.0
33,686,343.0
34,843,421.5
35,598,299.0
36,961,480.5
37,432,216.0
38,685,342.5
39,716,358.0
40,850,425.0
41,345,172.5
42,451,225.5
43,430,215.0
44,468,234.0
45,550,275.0
46,254,127.0
47,712,356.0
48,852,426.0
49,856,428.0
50,513,256.5
51,865,432.5
52,501,250.5
53,763,381.5
54,310,155.0
55,998,499.0
56,785,392.5
57,337,168.5
58,343,171.5
59,879,439.5
60,514,257.0
61,619,309.5
62,208,104.0
63,606,303.0
64,523,261.5
65,509,254.5
66,721,360.5
67,966,483.0
68,411,205.5
69,760,380.0
70,478,239.0
71,707,353.5
72,346,173.0
73,957,478.5
74,852,426.0
75,993,496.5
76,316,158.0
77,732,366.0
78,330,165.0
79,429,214.5
80,432,216.0
81,874,437.0
82,319,159.5
83,696,348.0
84,612,306.0
85,586,293.0
86,573,286.5
87,771,385.5
88,621,310.5
89,310,155.0
90,543,271.5
91,585,292.5
92,468,234.0
93,512,256.0
94,265,132.5
95,688,344.0
96,569,284.5
97,964,482.0
98,237,118.5
99,326,163.0
100,486,243.0
101,527,263.5
102,738,369.0
103,877,438.5
104,304,152.0
105,399,199.5
106,324,162.0
107,497,248.5
108,572,286.0
109,621,310.5
110,726,363.0
111,500,250.0
112,801,400.5
113,743,371.5
114,716,358.0
115,904,452.0
116,794,397.0
117,261,130.5
118,787,393.5
119,299,149.5
