container_id,container_size,container_pulling_delay
0,833,416.5
1,205,102.5
2,945,472.5
3,326,163.0
4,666,333.0
5,426,213.0
6,513,256.5
7,966,483.0
8,212,106.0
9,438,219.0
10,206,103.0
11,485,242.5
12,631,315.5
13,807,403.5
14,453,226.5
15,736,368.0
16,569,284.5
17,339,169.5
18,246,123.0
19,755,377.5
20,846,423.0
21,312,156.0
22,925,462.5
23,471,235.5
24,262,131.0
25,798,399.0
26,566,283.0
27,769,384.5
28,938,469.0
29,921,460.5
30,518,259.0
31,362,181.0
32,908,454.0
33,678,339.0
34,921,460.5
35,445,222.5
36,206,103.0
37,400,200.0
38,781,390.5
39,624,312.0
40,370,185.0
41,826,413.0
42,968,484.0
43,536,268.0
44,577,288.5
45,591,295.5
46,551,275.5
47,636,318.0
48,941,470.5
49,670,335.0
50,565,282.5
51,544,272.0
52,956,478.0
53,442,221.0
54,237,118.5
