container_id,container_size,container_pulling_delay
0,976,488.0
1,671,335.5
2,600,300.0
3,950,475.0
4,754,377.0
5,341,170.5
6,533,266.5
7,832,416.0
8,675,337.5
9,959,479.5
10,249,124.5
11,724,362.0
12,525,262.5
13,576,288.0
14,386,193.0
15,465,232.5
16,747,373.5
17,404,202.0
18,649,324.5
19,321,160.5
20,268,134.0
21,625,312.5
22,828,414.0
23,843,421.5
24,936,468.0
25,891,445.5
26,354,177.0
27,980,490.0
28,843,421.5
29,276,138.0
30,336,168.0
31,668,334.0
32,947,473.5
33,700,350.0
34,969,484.5
35,220,110.0
36,917,458.5
37,374,187.0
38,758,379.0
39,999,499.5
