container_id,container_size,container_pulling_delay
0,1.364,0.0013640000000000002
1,1.11,0.00111
2,0.752,0.000752
3,0.785,0.000785
4,1.152,0.0011519999999999998
5,1.446,0.001446
6,0.892,0.000892
7,0.824,0.000824
8,1.406,0.001406
9,1.657,0.001657
10,0.279,0.000279
11,0.611,0.000611
12,1.579,0.0015789999999999999
13,0.692,0.0006919999999999999
14,1.76,0.00176
15,0.357,0.000357
16,1.918,0.001918
17,0.747,0.000747
18,1.715,0.0017150000000000002
19,1.38,0.00138
20,1.635,0.001635
21,0.402,0.000402
22,1.239,0.001239
23,1.374,0.001374
24,0.274,0.00027400000000000005
25,0.881,0.0008810000000000001
26,0.288,0.00028799999999999995
27,1.217,0.001217
28,0.107,0.000107
29,0.706,0.0007059999999999999
30,0.993,0.000993
31,0.473,0.00047299999999999995
32,0.206,0.000206
33,0.498,0.000498
34,0.199,0.000199
35,0.158,0.000158
36,0.643,0.000643
37,1.246,0.001246
38,0.669,0.000669
39,0.661,0.000661
