container_id,container_size,container_pulling_delay
0,432,216.0
1,368,184.0
2,442,221.0
3,597,298.5
4,805,402.5
5,792,396.0
6,714,357.0
7,956,478.0
8,333,166.5
9,416,208.0
10,209,104.5
11,987,493.5
12,791,395.5
13,541,270.5
14,245,122.5
15,951,475.5
16,763,381.5
17,493,246.5
18,407,203.5
19,426,213.0
20,338,169.0
21,256,128.0
22,767,383.5
23,459,229.5
24,444,222.0
25,428,214.0
26,654,327.0
27,635,317.5
28,764,382.0
29,490,245.0
30,604,302.0
31,874,437.0
32,695,347.5
33,546,273.0
34,524,262.0
35,321,160.5
36,926,463.0
37,314,157.0
38,358,179.0
39,318,159.0
